"id_link,""host_a"",""host_b"",""fa_a"",""fa_b"",""nms"",""ne_a"",""board_a"",""rack_a"",""shelf_a"",""slot_a"",""port_a"",""freq_a"",""ne_b"",""board_b"",""rack_b"",""shelf_b"",""slot_b"",""port_b"",""freq_b"""
"T-D2-JT2 "",""T-D2-CKA"",""Hu1/6/0/0"",""Hu0/7/0/3"",""SBCS"",""163_SBCS_JTN_00"",""12LSC"",""0"",""1"",""13"",""1"",""192.4"",""162_SBCS_CKA_00"",""12LSC"",""0"",""3"",""13"",""1"",""192.4"""
"T-D2-CKA"",""T-D1-BTC"",""Hu1/4/0/0"",""Hu0/2/0/0"",""SBCS"",""181_SBCS3R_ST-CKP_00"",""12LSC"",""0"",""0"",""16"",""1"",""192.2"",""190_SBCS3R_NOC-BMC_00"",""12LSC"",""0"",""0"",""12"","""",""192.2"""
"""T-D2-CKA"",""T-D1-BTC"",""Hu1/7/0/0"",""Hu0/0/0/0"",""SBCS"",""181_SBCS3R_ST-CKP_00"",""12LSC"",""0"",""0"",""12"",""1"",""192.8"",""190_SBCS3R_NOC-BMC_00"",""12LSC"",""0"",""0"",""16"","""",""192.8"""
