 host_a , host_b , fa_a , fa_b , nms , ne_a , board_a , rack_a , shelf_a , slot_a , port_a , freq_a , ne_b , board_b , rack_b , shelf_b , slot_b , port_b , freq_b 
 ME-D1-MBOA , ME-D1-LTMA ,2/2/2,2/2/2,SBCS,610_RING_1B_MBO_01,55TQX(STND),,0,14,3,,596_RING_1B_BNA_01,55TQX(STND),,1,31,3, via BNA 
 ME-D1-MBOA , ME-D1-KBJA ,3/1/1,3/1/1,SBCS,591_Ring 1B_MBO_00,TQX,,2,14,1,,584_RING_1B_KBJ_00,TQX,,2,14,2,
 ME-D1-MBOA , ME-D1-KBJA ,4/1/1,2/1/1,SBCS,610_RING_1B_MBO_01,55TQX(STND),,0,6,1,,605_RING_1B_KBJ_01,55TQX(STND),,0,14,2,
 ME-D1-MBOA , ME-D1-KBJA ,4/2/1,5/1/1,SBCS,591_Ring 1B_MBO_00,TQX,,2,12,2,,584_RING_1B_KBJ_00,52TQX,,2,11,2,
 ME-D1-MBOA , ME-D1-KBJA ,2/2/1,2/1/3,SBCS,591_Ring 1B_MBO_00,TQX,,2,14,3,,584_RING_1B_KBJ_00,52TQX,,2,11,4,
 ME-D1-KBJA , ME-D1-PMYA ,4/1/1,2/1/2,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME-D1-PMSC , ME-D1-PMYA ,5/2/1,2/1/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
ME-D1-TBTA,ME-D1-PMSC,3/2/2, 1/1/1 ,SBCS,275_SBCS_Ring 1A_TGI_01,15LTX,,2,7,1,192.1,313_SBCS_Ring 1A_PSR_01,15LTX,,3,7,1,192.1
 ME-D1-TBTA , ME-D1-PMSC ,5/1/1,2/1/4,SBCS,275_SBCS_Ring 1A_TGI_01,15LTX,,2,7,2,192.1,313_SBCS_Ring 1A_PSR_01,15LTX,,3,7,2, 192.1 
 ME2-D1-BDSA , ME-D1-TPIA ,6/1/1,2/1/2,JASUKA,NSN_7300_BDS,IO1T10G-1/LH,,3,3,,192.6, NSN_7300_BTC ,IO1T10G-1/LH,,3,3,,192.6
,,,,JASUKA,NSN_7300_BTC,IO1T10G-1/LH,,6,10,,194.0,NSN_7300_TPI,IO1T10G-1/LH,,2,4,, 194.0 
 ME2-D1-BDSA , ME-D1-LBJA ,2/1/1,1/1/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME2-D1-BDSA , ME-D1-BDSA ,2/1/2,1/1/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME2-D1-BTC , ME2-D1-BDSA ,2/1/1,1/2/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME2-D1-BTC , ME2-D1-BDSA ,5/1/5,4/1/5,SBCS,254_SBCS3R_STO-BMC_01,11LTX,,1,6,5,192.4,255_SBCS3R_STO-BDS_00,11LTX,,0,8,5,192.4
 ME2-D1-BTC , ME2-D1-BDSA ,10/2/1,7/2/1,JASUKA,NSN_7300_BDS,IO1T10G-1/LH,,5,9,,194.0,NSN_7300_BTC,IO1T10G-1/LH,,6,1,, 194.0 
 ME2-D1-BTC , ME-D1-BTC ,1/1/1,3/2/2,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME2-D1-BTC , ME-D1-BTC ,1/2/2,1/1/2,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME2-D1-BTC , ME-D1-BTC ,10/1/3,4/1/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME3-D1-PBRC , ME-D1-BKTA ,2/2/1,3/1/1,JASUKA,JASUKA HIT7500 PBR_07,OCR10TV5,,141,8,,192.9,JASUKA HIT7500 BKT_05,OCR10TV5,,141,11,, 192.9 
 ME3-D1-PBRC , ME-D1-BKTA ,5/1/3,4/1/1,JASUKA,JASUKA HIT7500 PBR_08, OCR10TV5 ,,141,10,,193.6,JASUKA HIT7500 BKT_05, OCR10TV5 ,, 141 , 9 ,, 193.6 
 ME3-D1-PBRC , ME-D1-BKTA ,9/1/1,4/1/2,SBCS,288_SBCS_Ring 1A_PKB_02,V2T210,,0,16,3,,295_SBCS_Ring 1A_BKT_00,V2T210,,0,3,3,
 ME3-D1-PBRC , ME-D1-BKTA ,10/1/1,5/2/2,SBCS,288_SBCS_Ring 1A_PKB_02,V2T210,,0,16,2,,295_SBCS_Ring 1A_BKT_00,V2T210,,0,3,2,
 ME3-D1-PBRC , ME4-D1-PBRC ,3/1/2,2/2/1,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME3-D1-PBRC , ME-D1-PBRC ,1/1/2,3/1/2,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME3-D1-PBRC , ME2-D1-PBRC ,1/2/2,3/1/2,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME3-D1-PBRC , ME-D1-KIJO ,9/1/2,1/2/1,FO,PBR_Coriant,IOT40G,,4,3,2,194.5, KIJO_Coriant ,IOT40G,, 3 , 3 , 2 , 194.5 
 ME2-D1-PDC , ME-D1-BKTA ,1/2/2,5/1/2,JASUKA,JASUKA HIT7500 PD_05,OCR10TV5,,141,9,,193.6,JASUKA HIT7500 BKT_05,OCR10TV5,,141,10,, 193.6 
 ME2-D1-PDC , ME-D1-BKTA ,5/2/2,3/1/2,JASUKA,JASUKA HIT7500 PD_OCU#2, OCR10TV5 ,,141,2,,192.9,JASUKA HIT7500 BKT_05, OCR10TV5 ,, 141 , 12 ,,192.9
 ME2-D1-PDC , ME-D1-BKTA ,1/1/3,5/2/1,SBCS,297_SBSC_RING 1A_PDG_00,V2T210,,0,14,2,192.1,295_SBCS_Ring 1A_BKT_00,V2T210,,0,1,2, 192.1 
 ME2-D1-PDC , ME-D1-KIJO ,4/1/2,2/1/1,JASUKA,PDC_Coriant,IOT40G,,2,1,2,194.5, KIJO_Coriant ,IOT40G,, 1.0 , 14.0 , 2.0 ,194.5
 ME2-D1-DRIA , ME2-D1-PDC ,3/2/2,2/2/2,SBCS,297_SBSC_RING 1A_PDG_00,V2T210,,0,16,3,,307_SBCS_Ring 1A_PSP_00,V2T210,,0,5,3,
,,,,SBCS,224_SBCS_RING1A_PSP_00,11LTX,,0,7,6,,221_SBCS_RING1A_RAP_00,11LTX,,0,7,6,
,,,,JASUKA,NSN_7500_RAP,OCR10TV5,,141,10,,193.6,NSN_7500_DRI_04,OCR10TV5,,141,1,, 193.6 
 ME2-D1-DRIA , ME2-D1-PDC ,6/1/1,1/2/1,SBCS,297_SBSC_RING 1A_PDG_00,V2T210,,0,16,5,192.1,307_SBCS_Ring 1A_PSP_00,V2T210,,0,5,5,
,,,,SBCS,224_SBCS_RING1A_PSP_00,11LTX,,0,7,10,,221_SBCS_RING1A_RAP_00,11LTX,,0,7,10,
,,,,SBCS,279_SBCS_Ring 1A_RAP_01,V2T210,,0,3,10,,283_SBCS_Ring 1A_DRI_02,V2T210,,0,13,10,
 ME2-D1-DRIA , ME2-D1-PDC ,6/1/5,1/1/2,SBCS,297_SBSC_RING 1A_PDG_00,V2T210,,0,16,6,,307_SBCS_Ring 1A_PSP_00,V2T210,,0,5,6,
,,,,SBCS,224_SBCS_RING1A_PSP_00,11LTX,,0,7,4,,221_SBCS_RING1A_RAP_00,11LTX,,0,7,4,
,,,,JASUKA,NSN_7500_RAP_04,OCR10TV5,,141,9,,193.3,NSN_7500_DRI_04,OCR10TV5,,141,1,, 193.3 
 ME2-D1-DRIA , ME3-D1-PBRC ,1/2/1,1/2/1,JASUKA,7300_DURI_1,I04T40G,,3,3,4,192.5,7300_PBR,I04T40G,,6,6,4,192.5
 ME2-D1-DRIA , ME3-D1-PBRC ,6/1/2,8/1/1,SBCS,283_SBCS_Ring 1A_DRI_02,V2T210,,0,12,1,,288_SBCS_Ring 1A_PKB_02,V2T210,,0,11,1,
 ME2-D1-DRIA , ME3-D1-PBRC ,6/2/1,5/1/4,SBCS,283_SBCS_Ring 1A_DRI_02,V2T210,,0,12,9,,288_SBCS_Ring 1A_PKB_02,V2T210,,0,11,9,
 ME2-D1-PGCA , ME-D1-BNKC ,2/2/2,3/2/2,JASUKA,Palembang-1,IO1T10G-1/LH,,1,12,,192.3,Baturaja-1,IO1T10G-1/LH,,4,4,, 192.3 
,,,,JASUKA,Baturaja-1,IO1T10G-1/LH,,2,9,,195.0,TjKarang-1,IO1T10G-1/LH,,2,8,, 195.0 
,,,,JASUKA,BDL-hiT7300-SON-01,IO1T10G-1/LH,,1,3,,193.8,BN-hiT7300-SON-01,IO1T10G-1/LH,,1,6,, 193.8 
 ME2-D1-PGCA , ME-D1-TJKA ,2/2/1,4/2/3,SBCS,244_SBCS_PGC_02,55TQX(STND),,0,6,3,,242_SBCS_BLP_00,55TQX(STND),,0,6,3,
 ME2-D1-PGCA , ME-D1-TJKA ,6/1/1,4/2/4,SBCS,244_SBCS_PGC_02,55TQX(STND),,0,6,1,,242_SBCS_BLP_00,55TQX(STND),,0,6,1,
 ME2-D1-PGCA , ME-D1-TJKA ,1/2/5 ,2/2/3,SBCS,244_SBCS_PGC_02,55TQX(STND),,0,35,3,,242_SBCS_BLP_00,52TQX,,0,25,3,
